topics                         words
0     0.027*"weve" + 0.027*"got" + 0.015*"sort" + 0.013*"two" + 0.012*"mean" + 0.012*"button" + 0.011*"colour" + 0.011*"go" + 0.010*"realli" + 0.009*"caus"
1     0.045*"alright" + 0.030*"front" + 0.021*"titanium" + 0.015*"look" + 0.012*"draw" + 0.011*"cours" + 0.010*"strong" + 0.009*"devic" + 0.009*"great" + 0.008*"bit"
2     0.019*"button" + 0.017*"two" + 0.015*"use" + 0.013*"colour" + 0.013*"ye" + 0.012*"make" + 0.008*"lcd" + 0.008*"go" + 0.008*"three" + 0.008*"put"
3     0.027*"remot" + 0.023*"control" + 0.021*"button" + 0.019*"use" + 0.014*"function" + 0.011*"peopl" + 0.010*"tv" + 0.010*"make" + 0.010*"channel" + 0.010*"someth"
4     0.016*"go" + 0.014*"design" + 0.013*"remot" + 0.012*"theyr" + 0.009*"someth" + 0.009*"your" + 0.008*"kind" + 0.008*"realli" + 0.007*"project" + 0.007*"need"
5     0.018*"kate" + 0.009*"sarah" + 0.008*"enter" + 0.008*"afraid" + 0.007*"steph" + 0.006*"streamlin" + 0.006*"handheld" + 0.005*"hot" + 0.005*"support" + 0.004*"fn"
6     0.015*"go" + 0.013*"remot" + 0.012*"mean" + 0.011*"someth" + 0.010*"look" + 0.010*"button" + 0.010*"need" + 0.010*"kind" + 0.009*"use" + 0.009*"sort"
7     0.000*"uneven" + 0.000*"whatv" + 0.000*"tra" + 0.000*"uhhum" + 0.000*"underlin" + 0.000*"the" + 0.000*"walkman" + 0.000*"beginni" + 0.000*"ban" + 0.000*"symmet"
8     0.013*"go" + 0.011*"point" + 0.011*"realli" + 0.011*"mean" + 0.009*"weve" + 0.008*"good" + 0.008*"evalu" + 0.008*"yep" + 0.007*"look" + 0.007*"two"
9     0.018*"design" + 0.016*"remot" + 0.014*"control" + 0.012*"go" + 0.012*"work" + 0.012*"ye" + 0.011*"draw" + 0.011*"make" + 0.010*"project" + 0.010*"use"

******************************************************
corpus	max topics			topics probabilities	
meet_1   [9, 3, 4, 6, 2]		[0.85991096, 0.13236909, 0.0070084305, 0.000101656624, 0.00010165404]
meet_2   [3, 9, 6, 2, 8]		[0.9976788, 0.001336914, 0.0006220887, 5.1746698e-05, 5.1746327e-05]
meet_3   [3, 2, 6, 9, 8]		[0.3176316, 0.2979423, 0.29417217, 0.08993454, 5.323317e-05]
meet_4   [2, 6, 9, 3, 8]		[0.7008367, 0.18106294, 0.09544558, 0.022409048, 4.0960986e-05]
meet_5   [9, 3, 1, 6, 2]		[0.5084517, 0.20294468, 0.17044637, 0.117175154, 0.00016371263]
meet_6   [3, 6, 4, 9, 2]		[0.91548455, 0.08400055, 6.436999e-05, 6.436889e-05, 6.43679e-05]
meet_7   [6, 2, 3, 9, 0]		[0.51457924, 0.3417384, 0.14304931, 9.043828e-05, 9.043312e-05]
meet_8   [2, 6, 4, 9, 3]		[0.8723612, 0.112528846, 0.013883794, 0.00017518387, 0.0001751811]
meet_10   [6, 3, 9, 2, 8]		[0.71188146, 0.25653195, 0.017976204, 0.01338264, 3.7960282e-05]
meet_11   [6, 2, 9, 3, 4]		[0.70061, 0.18602738, 0.058720276, 0.05439056, 4.1974516e-05]
meet_12   [6, 9, 2, 8, 3]		[0.33119768, 0.31683835, 0.20022985, 0.14538972, 0.0059537655]
meet_13   [9, 1, 4, 3, 6]		[0.870281, 0.11449954, 0.013799322, 0.00020289775, 0.00020289248]
meet_14   [3, 2, 6, 9, 0]		[0.97331357, 0.026047347, 7.989419e-05, 7.989365e-05, 7.9892925e-05]
meet_15   [3, 2, 6, 9, 8]		[0.6969152, 0.20562306, 0.09704797, 5.9116508e-05, 5.9115184e-05]
meet_16   [2, 6, 3, 9, 8]		[0.86706924, 0.075728975, 0.056874126, 4.6806806e-05, 4.6806064e-05]
meet_17   [9, 6, 3, 4, 8]		[0.7309304, 0.26760152, 0.00018354433, 0.00018352916, 0.00018352646]
